# rice benchmark results: M7-lifecycle
# date: 2026-09-18T10:30:33Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103022712 ns/op	       101.4 ms/shutdown	   33152 B/op	     128 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 102961629 ns/op	       101.3 ms/shutdown	   33175 B/op	     129 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103106671 ns/op	       101.4 ms/shutdown	   34046 B/op	     129 allocs/op
BenchmarkShutdownLatency/idle-keepalive-only-12        	      10	 103088150 ns/op	       101.4 ms/shutdown	   33288 B/op	     129 allocs/op
BenchmarkRiceDispatch-12                               	35479995	        33.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	35053084	        33.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	35476455	        33.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	35444931	        33.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	35430236	        33.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	35554677	        33.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	35544980	        33.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	35265722	        33.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	35582439	        33.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatch-12                               	35578306	        33.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35220956	        34.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35265896	        34.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35257347	        34.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35268746	        34.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35207349	        34.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35317228	        34.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35094088	        34.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35105082	        34.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35133948	        34.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkRiceDispatchNotFound-12                       	35232762	        34.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15403432	        78.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15305300	        78.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15348105	        78.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	14533232	        78.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15007573	        78.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15413911	        79.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15170133	        78.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15295196	        78.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15283394	        79.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15292045	        79.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31135134	        38.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31089290	        38.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31062398	        38.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31125376	        38.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31129042	        38.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31043682	        38.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31539799	        38.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31297101	        38.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31484871	        38.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	29330260	        38.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	41179094	        29.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	40964952	        29.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	41141564	        29.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	41162144	        29.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	41136921	        29.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	41180743	        29.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	40358970	        29.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	40233801	        29.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	41161908	        29.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	41046690	        29.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	239048983	         5.280 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	249822586	         5.287 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	270909382	         4.514 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	285013909	         4.709 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	241339676	         4.185 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	253807731	         4.889 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	267381465	         4.212 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	275638890	         5.093 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	258119446	         4.528 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	257211614	         4.621 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	193114281	         6.220 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	192473740	         6.207 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	192696752	         6.232 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	191634322	         6.232 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	193504652	         6.226 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	192366970	         6.234 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	192748080	         6.253 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	192456390	         6.256 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	193238840	         6.263 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	193297398	         6.224 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12                               	194430996	         6.111 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12                               	192267597	         6.174 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12                               	197589924	         6.072 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12                               	198447451	         6.130 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12                               	196033252	         6.106 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12                               	196614207	         6.074 ns/op	       0 B/op	       0 allocs/op
