# rice benchmark results: M6-context-pooling
# date: 2026-09-17T18:23:46Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkDispatchParameterised-12    	31668082	        38.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12    	31825806	        38.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12    	31749986	        38.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12    	31717956	        38.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12    	31739349	        38.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12    	31568666	        37.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12    	31614721	        38.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12    	31567836	        38.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12    	31585908	        38.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12    	31530786	        37.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                	40486512	        29.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                	40665846	        29.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                	41222593	        29.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                	40124776	        29.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                	41436463	        29.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                	40505871	        29.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                	41071861	        29.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                	39694462	        29.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                	40836872	        29.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                	41338149	        29.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12         	253130200	         4.109 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12         	268599964	         4.482 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12         	270799441	         4.904 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12         	248550273	         4.114 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12         	278261245	         6.666 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12         	267426106	         4.594 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12         	251177612	         4.440 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12         	250946428	         4.109 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12         	255515587	         4.575 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12         	293206855	         4.379 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	194034804	         6.186 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	193899386	         6.190 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	193893577	         6.200 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	193982082	         6.188 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	193736994	         6.191 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	194084532	         6.186 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	193903381	         6.182 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	193927026	         6.183 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	193986721	         6.191 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12              	194041353	         6.191 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	191905658	         6.195 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	191879984	         6.197 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	192203928	         6.199 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	192387866	         6.196 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	192234255	         6.200 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	192472390	         6.231 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	191896580	         6.193 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	191825054	         6.193 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	192078624	         6.179 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup100-12             	194065162	         6.246 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	193340259	         6.195 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	192740534	         6.167 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	192534823	         6.234 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	192552110	         6.230 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	191489400	         6.210 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	192961824	         6.165 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	193960108	         6.238 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	193548568	         6.213 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	192712806	         6.246 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup1000-12            	192125022	         6.209 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup10-12             	29066628	        41.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup10-12             	28924083	        41.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup10-12             	28955635	        41.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup10-12             	29078865	        41.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkTreeLookup10-12             	29125506	        41.33 ns/op	       0 B/op	       0 allocs/op
