# rice benchmark results: post-M8-static-files
# date: 2026-09-24T19:06:56Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http
cpu: Apple M2 Pro
BenchmarkCtxSetHeader-12                               	15686342	        75.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15714853	        75.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15768862	        75.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15558114	        76.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15731162	        75.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15073963	        75.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15919368	        76.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15823393	        75.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetHeader-12                               	15660590	        75.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31618816	        38.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31677208	        38.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31514156	        38.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31416661	        38.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31677836	        38.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31484836	        38.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31597516	        38.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31610001	        38.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31598522	        38.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParameterised-12                      	31065514	        38.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	44211990	        27.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	44547012	        27.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	43072441	        27.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	44339614	        27.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	44251593	        27.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	44529793	        27.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	44315532	        27.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	43056084	        27.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	44090090	        27.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkCtxSetGet-12                                  	44335248	        27.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	239432863	         4.634 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	245044068	         5.165 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	239441442	         5.333 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	243665582	         4.304 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	252252292	         4.371 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	268954975	         5.419 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	243916051	         4.235 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	266839815	         5.786 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	292816926	         4.195 ns/op	       0 B/op	       0 allocs/op
BenchmarkDispatchParallel-12                           	291793549	         4.729 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSmallFile-12                            	 8119633	       146.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSmallFile-12                            	 8096118	       147.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSmallFile-12                            	 8150371	       147.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSmallFile-12                            	 8205277	       146.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSmallFile-12                            	 8113464	       147.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSmallFile-12                            	 8132186	       147.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSmallFile-12                            	 8063888	       147.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSmallFile-12                            	 8192508	       146.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSmallFile-12                            	 8180392	       146.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticSmallFile-12                            	 8214280	       147.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	192042108	         6.225 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	192895962	         6.238 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	193233162	         6.237 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	192903184	         6.240 ns/op	       0 B/op	       0 allocs/op
BenchmarkMapLookup10-12                                	193107418	         6.235 ns/op	       0 B/op	       0 allocs/op
