# rice benchmark results: M8-compare-handler
# date: 2026-09-19T03:54:28Z
# go:   go version go1.25.6 darwin/arm64
# os:   Darwin 27.0.0 arm64
# cpu:  Apple M2 Pro
# power: 'Battery Power'
# rice: b131556 (local, via replace)
# github.com/gin-gonic/gin v1.12.0
# github.com/labstack/echo/v5 v5.3.1
# github.com/gofiber/fiber/v3 v3.5.0
# github.com/valyala/fasthttp v1.73.0

goos: darwin
goarch: arm64
pkg: github.com/vietpham102301/rice-http/bench/compare
cpu: Apple M2 Pro
BenchmarkHandler/middleware5/fiber-12   	16286930	        72.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/fiber-12   	16328557	        71.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/fiber-12   	16919082	        71.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/middleware5/fiber-12   	16055542	        73.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/rice-12       	20761005	        58.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/rice-12       	20405588	        57.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/rice-12       	20539035	        58.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/rice-12       	21035224	        57.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/rice-12       	20950131	        56.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/rice-12       	20888046	        57.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/rice-12       	21119540	        58.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/rice-12       	20724314	        58.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/rice-12       	20932879	        58.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/rice-12       	20394274	        58.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/gin-12        	22800756	        85.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/gin-12        	21615835	        77.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/gin-12        	19157926	        72.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/gin-12        	17565826	        58.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/gin-12        	21199118	        73.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/gin-12        	21994117	        55.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/gin-12        	23363197	        85.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/gin-12        	19912542	        73.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/gin-12        	20369522	        56.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/gin-12        	22026784	        74.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/echo-12       	 2337890	       552.9 ns/op	     464 B/op	       8 allocs/op
BenchmarkHandler/notfound/echo-12       	 2217186	       518.4 ns/op	     464 B/op	       8 allocs/op
BenchmarkHandler/notfound/echo-12       	 2307592	       535.9 ns/op	     464 B/op	       8 allocs/op
BenchmarkHandler/notfound/echo-12       	 2226360	       557.7 ns/op	     464 B/op	       8 allocs/op
BenchmarkHandler/notfound/echo-12       	 2128564	       556.3 ns/op	     464 B/op	       8 allocs/op
BenchmarkHandler/notfound/echo-12       	 2102119	       537.9 ns/op	     464 B/op	       8 allocs/op
BenchmarkHandler/notfound/echo-12       	 2085332	       563.0 ns/op	     464 B/op	       8 allocs/op
BenchmarkHandler/notfound/echo-12       	 2265543	       528.3 ns/op	     464 B/op	       8 allocs/op
BenchmarkHandler/notfound/echo-12       	 2083561	       534.4 ns/op	     464 B/op	       8 allocs/op
BenchmarkHandler/notfound/echo-12       	 2294217	       536.4 ns/op	     464 B/op	       8 allocs/op
BenchmarkHandler/notfound/fiber-12      	 8966914	       134.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/fiber-12      	 8987815	       135.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/fiber-12      	 8726650	       134.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/fiber-12      	 8997982	       135.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkHandler/notfound/fiber-12      	 8854179	       134.9 ns/op	       0 B/op	       0 allocs/op
